cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
3 15 3996 0 0 984 0 0 1.0113 0 0.9608 -0.3509 0.4041 -0.0149 0.9851 0.4863 0.875 0.9606 -0.2943 0.4452 -0.212 0.788 0.5414 0.94 0.9386 -0.3472 0.4354 4677020990565.59 4677020990566.59 0.638 0.74 -0.0399 0.0399 -0.0797 0.9203 1 -0.2535 0.2535 -0.1901 0.8099 1 -0.1635 0.1635 -0.1635 0.8365 1 0 1
3 16 3817 0 0 1237 0 0 1.0086 0 0.9625 -0.3056 0.3992 0.2545 1.2545 0.4718 0.8333 0.9605 -0.2522 0.4672 0.217 1.217 0.5893 0.905 0.9768 -0.2595 0.33 2504511972732.09 2504511972733.09 0.4023 0.96 -0.074 0.074 -0.1481 0.8519 1 -0.3936 0.3936 -0.2952 0.7048 1 -0.2438 0.2438 -0.2438 0.7562 1 0 1
3 17 4339 0 0 2110 0 0 1.0047 0 0.9641 0.1558 0.229 4.4019 5.4019 0.291 1 0.9706 0.1027 0.3407 -0.2387 0.7613 0.441 0.975 0.9988 0.0685 0.1511 -1227567110882.12 -1227567110881.12 0.1809 1 -0.0285 0.0285 -0.0569 0.9431 1 0.0106 0.0106 0.0079 1.0079 1 0.0246 0.0246 0.0246 1.0246 1 0 1
3 18 3500 0 0 963 0 0 1.0038 0 0.9704 -0.1643 0.2313 0.0069 1.0069 0.2891 0.9583 0.9613 -0.1619 0.4072 -0.3615 0.6385 0.5123 0.965 0.9778 -0.261 0.3376 -1814232689838.91 -1814232689837.91 0.4272 0.85 -0.1523 0.1523 -0.3045 0.6955 1 -0.2401 0.2401 -0.1801 0.8199 1 -0.0529 0.0529 -0.0529 0.9471 1 0 1
3 19 3112 0 0 134 0 0 1.0079 0 0.9839 0.844 0.844 -0.3811 0.6189 0.8679 0.125 0.9409 0.7895 0.8265 6.8511 7.8511 0.9566 0.655 0.9873 0.9954 0.9954 -15473049275642.3 -15473049275641.3 1.0741 0.355 -0.1667 0.1667 -0.3334 0.6666 1 -0.4364 0.4364 -0.3273 0.6727 0 -0.213 0.213 -0.213 0.787 1 0 1
3 20 4824 0 0 2997 0 0 1.0029 0 0.9684 -0.0974 0.2631 -0.51 0.49 0.3368 0.9583 0.9599 -0.0094 0.4091 0.0067 1.0067 0.5379 0.94 0.9725 -0.0848 0.4388 -435489488793.19 -435489488792.19 0.5046 1 0.0713 0.0713 0.1427 1.1427 1 -0.0129 0.0129 -0.0097 0.9903 1 -0.1379 0.1379 -0.1379 0.8621 1 0 1
3 21 4102 0 0 1781 0 0 1.0041 0 0.9806 -0.1373 0.2479 -0.31 0.69 0.3528 0.875 0.9595 -0.1717 0.4415 -0.1444 0.8556 0.576 0.925 0.9858 -0.1059 0.2538 2370465647959.81 2370465647960.81 0.3199 1 -0.0959 0.0959 -0.1917 0.8083 1 -0.3008 0.3008 -0.2256 0.7744 1 -0.1511 0.1511 -0.1511 0.8489 1 0 1
3 22 4796 0 0 2801 0 0 1.0058 0 0.9833 0.4602 0.4602 0.4753 1.4753 0.5352 0.7917 0.9694 0.3795 0.4812 -0.2171 0.7829 0.6081 0.91 0.9811 0.3091 0.3533 -4020465686933.92 -4020465686932.92 0.4281 1 0.0441 0.0441 0.0881 1.0881 1 0.2157 0.2157 0.1618 1.1618 1 0.066 0.066 0.066 1.066 1 0 1
3 23 4824 0 0 2988 0 0 1.0061 0 0.9659 0.3077 0.3299 0.2501 1.2501 0.4115 0.9167 0.968 0.2464 0.4284 0.1295 1.1295 0.5367 0.955 0.9872 0.2331 0.3289 318498551367.526 318498551368.526 0.3628 1 0.044 0.044 0.088 1.088 1 -0.2434 0.2434 -0.1825 0.8175 1 -0.2514 0.2514 -0.2514 0.7486 1 0 1
3 24 4497 0 0 2937 0 0 1.0044 0 0.9615 -0.1701 0.4019 0.0295 1.0295 0.4976 0.9167 0.9633 -0.1398 0.4223 1.6022 2.6022 0.5328 0.93 0.9677 -0.1879 0.4026 492293117727.638 492293117728.638 0.4524 0.91 -0.0165 0.0165 -0.0329 0.9671 1 -0.3815 0.3815 -0.2861 0.7139 1 -0.2836 0.2836 -0.2836 0.7164 1 0 1
