"seed" "model" "Rhat.1.05" "N..Divergent" "N..Low.BFMI" "Excedeed.Treedepth" "Low.Bulk.ESS" "Low.Tail.ESS" "ACF1" "ACF2" "ACF3" "racf" "lpacf" "mssd" "Item1" "Item2" "Item3" "Item1.1" "Item2.1" "Item3.1" "Item1.2" "Item2.2" "Item3.2" "Item1.3" "Item2.3" "Item3.3" "Item1.4" "Item2.4" "Item3.4" "Item1.5" "Item2.5" "Item3.5" "ppp.q3.2.1." "ppp.q3.3.1." "ppp.q3.3.2." "OR.2.1." "OR.3.1." "OR.3.2." "ppp.ordiff.2.1." "ppp.ordiff.3.1." "ppp.ordiff.3.2." "ppp.resid.2.1." "ppp.resid.3.1." "ppp.resid.3.2." "ppp.rediff.2.1." "ppp.rediff.3.1." "ppp.rediff.3.2."
1003 "DRIFT" 0 0 0 0 0 0 0.63 0.422 0.518 0.713 0.428 0.395 0.748 0.79 0.527 0.557 0.494 0.437 0.466 0.581 0.28 0.612 0.573 0.488 0.671 0.753 0.761 0.41 0.775 0.658 0.282 0.599 0.404 0.866 0.27 0.894 0.952 0.22 0.169 0.497 0.539 0.551 0.395 0.44 0.506
1003 "GPCM" 0 0 0 0 0 0 0.597 0.574 0.456 0.438 0.485 0.411 0.659 0.148 0.99 0.413 0.271 0.952 0.416 0.328 0.91 0.608 0.3 0.653 0.588 0.161 0.549 0.425 0.709 0.406 0.899 0.052 0.266 0.529 0.924 0.78 0.22 0.664 0.1 0.212 0.183 0.551 0.808 0.53 0.643
1003 "AR3" 0 0 0 0 0 0 0.436 0.459 0.76 0.405 0.517 0.562 0.684 0.784 0.463 0.569 0.768 0.553 0.552 0.858 0.451 0.472 0.388 0.469 0.311 0.317 0.518 0.712 0.49 0.336 0.124 0.703 0.396 0.585 0.985 0.704 0.46 0.036 0.802 0.467 0.548 0.558 0.783 0.592 0.418
1004 "TV-DPCM" 0 0 0 0 0 0 0.632 0.427 0.387 0.794 0.447 0.378 0.93 0.498 0.752 0.753 0.51 0.64 0.805 0.393 0.683 0.616 0.506 0.498 0.518 0.649 0.164 0.53 0.315 0.684 0.39 0.109 0.635 0.441 0.71 0.395 0.294 0.913 0.138 0.557 0.406 0.532 0.459 0.7 0.345
1004 "DPCM" 0 5 0 0 0 0 0.572 0.468 0.595 0.672 0.45 0.434 0.29 0.711 0.762 0.274 0.627 0.748 0.224 0.643 0.76 0.457 0.553 0.434 0.767 0.197 0.441 0.212 0.914 0.415 0.72 0.586 0.141 0.076 0.598 0.962 0.771 0.475 0.731 0.483 0.565 0.373 0.744 0.611 0.45
1004 "BiDim" 0 3 0 0 0 0 0.861 0.275 0.259 0.943 0.245 0.175 0.828 0.669 0.112 0.609 0.403 0.255 0.596 0.505 0.166 0.621 0.512 0.374 0.547 0.674 0.297 0.193 0.429 0.107 0.045 0.778 0.833 0.962 0.3 0.017 0.576 0.241 0.398 0.157 0.478 0.322 0.531 0.365 0.666
1004 "DRIFT" 0 0 0 0 0 0 0.61 0.494 0.59 0.687 0.46 0.408 0.414 0.687 0.881 0.749 0.478 0.49 0.64 0.433 0.767 0.309 0.601 0.586 0.162 0.507 0.714 0.596 0.556 0.194 0.654 0.399 0.159 0.684 0.459 0.824 0.208 0.188 0.037 0.478 0.561 0.395 0.499 0.369 0.363
1004 "GPCM" 0 1 0 0 0 0 0.555 0.553 0.503 0.51 0.502 0.454 0.38 0.419 0.979 0.38 0.402 0.97 0.306 0.513 0.964 0.598 0.343 0.529 0.525 0.414 0.266 0.255 0.674 0.084 0.856 0.271 0.091 0.545 0.576 0.802 0.412 0.113 0.778 0.236 0.415 0.364 0.087 0.346 0.322
1004 "AR3" 0 0 0 0 0 0 0.288 0.486 0.97 0.26 0.696 0.735 0.549 0.906 0.904 0.736 0.868 0.802 0.508 0.932 0.827 0.607 0.571 0.596 0.43 0.534 0.498 0.814 0.662 0.722 0.288 0.529 0.045 0.552 0.611 0.838 0.255 0.076 0.137 0.554 0.556 0.272 0.514 0.471 0.772
1005 "TV-DPCM" 0 1 0 0 0 0 0.738 0.608 0.417 0.559 0.348 0.263 0.456 0.798 0.596 0.483 0.648 0.457 0.51 0.659 0.537 0.56 0.621 0.46 0.828 0.088 0.473 0.39 0.172 0.381 0.254 0.58 0.331 0.506 0.677 0.857 0.16 0.204 0.351 0.559 0.535 0.52 0.559 0.355 0.579
