cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
4 15 4740 0 0 0 0 0 1.0077 0 0.9787 0.2204 0.3046 0.372 1.372 0.3686 0.875 0.955 0.2845 0.4761 0.1768 1.1768 0.6338 0.9233 0.9843 0.1651 0.2442 -0.1682 0.8318 0.3197 0.9633 0.0772 0.0772 0.1544 1.1544 1 -0.23 0.23 -0.1725 0.8275 1 -0.2763 0.2763 -0.2763 0.7237 0 0 0
4 16 4041 0 0 0 0 0 1.0079 0 0.9815 0.0318 0.2003 -0.0887 0.9113 0.238 1 0.9585 -0.0211 0.3905 -3.0053 -2.0053 0.5039 0.97 0.9853 0.1488 0.2192 -0.153 0.847 0.3077 0.9633 -0.0371 0.0371 -0.0742 0.9258 1 -0.1241 0.1241 -0.0931 0.9069 1 -0.0609 0.0609 -0.0609 0.9391 1 0 0
4 17 3948 0 0 0 0 0 1.008 0 0.9769 0.0387 0.1639 0.7904 1.7904 0.2041 1 0.9493 0.0811 0.3358 -2.4292 -1.4292 0.4341 0.9633 0.9517 0.331 0.3781 -0.4801 0.5199 0.4312 0.8833 -0.0884 0.0884 -0.1768 0.8232 1 -0.3312 0.3312 -0.2484 0.7516 0 -0.1753 0.1753 -0.1753 0.8247 1 0 0
4 18 4407 2 0 0 0 0 1.0069 0 0.9368 0.5363 0.5379 652.8847 653.8847 0.5981 0.7083 0.9689 0.4175 0.6649 -3.0259 -2.0259 0.8164 0.9033 0.9924 0.4819 0.5068 0.0943 1.0943 0.6188 0.9533 0.0616 0.0616 0.1232 1.1232 1 0.2275 0.2275 0.1706 1.1706 1 0.0447 0.0447 0.0447 1.0447 1 1 0
4 19 4074 0 0 0 0 0 1.0051 0 0.9838 -0.9465 0.9465 0.4992 1.4992 0.9627 0.0417 0.9287 -0.9567 0.9688 -2.0516 -1.0516 1.0652 0.4967 0.9464 -0.9613 0.9613 32.6808 33.6808 0.9749 0.0767 -0.0177 0.0177 -0.0354 0.9646 1 0.0081 0.0081 0.0061 1.0061 1 0.0175 0.0175 0.0175 1.0175 1 0 0
4 20 3856 0 0 0 0 0 1.0108 0 0.9842 0.2651 0.3016 -0.1751 0.8249 0.3396 1 0.9588 0.2208 0.3998 -0.2842 0.7158 0.4995 0.9533 0.987 0.1809 0.2256 0.1249 1.1249 0.301 1 -0.0953 0.0953 -0.1905 0.8095 1 0.0146 0.0146 0.0109 1.0109 1 0.1184 0.1184 0.1184 1.1184 1 0 0
4 21 3865 0 0 0 0 0 1.0046 0 0.9814 -0.1984 0.2559 -0.086 0.914 0.284 0.9583 0.9382 -0.2715 0.4164 0.1689 1.1689 0.5464 0.9233 0.9796 -0.212 0.2463 -0.1613 0.8387 0.2779 1 -0.0771 0.0771 -0.1541 0.8459 1 -0.1193 0.1193 -0.0895 0.9105 1 -0.0133 0.0133 -0.0133 0.9867 1 0 0
4 22 3811 0 0 0 0 0 1.0087 0 0.984 0.2581 0.2789 -0.674 0.326 0.3338 0.9583 0.9448 0.2902 0.44 -0.1324 0.8676 0.5617 0.9233 0.9787 0.2099 0.2593 -0.0024 0.9976 0.3388 0.98 0.0035 0.0035 0.0069 1.0069 1 -0.0419 0.0419 -0.0315 0.9685 1 -0.0465 0.0465 -0.0465 0.9535 1 0 0
4 23 3781 0 0 0 0 0 1.0034 0 0.9801 0.4452 0.4534 -0.6414 0.3586 0.5046 0.7083 0.9466 0.4082 0.5136 -52.7433 -51.7433 0.6171 0.9167 0.8817 0.5399 0.5725 1.0493 2.0493 0.686 0.6367 -0.0802 0.0802 -0.1603 0.8397 1 -0.0062 0.0062 -0.0047 0.9953 1 0.0826 0.0826 0.0826 1.0826 1 0 0
4 24 4350 0 0 0 0 0 1.0173 0 0.9712 -0.2188 0.2642 0.5243 1.5243 0.3427 0.9167 0.9429 -0.1435 0.417 -0.1083 0.8917 0.5345 0.95 0.9394 -0.1389 0.3187 0.4016 1.4016 0.3761 1 0.0357 0.0357 0.0715 1.0715 1 -0.0921 0.0921 -0.0691 0.9309 1 -0.1284 0.1284 -0.1284 0.8716 1 0 0
