cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
13 34 351 0 0 0 0 0 1.0002 0 0.9175 0.0336 0.3321 0.4241 2.0559 0.9104 -0.0386 0.3472 0.4071 2.3372 -0.125 0.125 0.4839 0 0
13 35 405 0 0 0 0 0 1.0005 0 0.9226 -0.0252 0.2822 0.3963 2.153 0.9111 -6e-04 0.3189 0.3925 2.3297 0.0899 0.0899 0.4796 0 0
13 36 407 0 0 0 0 0 1.0002 0 0.9355 -0.1678 0.3152 0.4001 1.9528 0.917 -0.2106 0.3866 0.4692 2.3796 0.1523 0.1523 0.445 0 0
13 37 342 0 0 0 0 0 1.0004 0 0.9539 0.0459 0.2682 0.3478 1.7503 0.9371 -7e-04 0.3647 0.4562 2.3842 -0.0254 0.0254 0.4746 0 0
13 38 310 0 0 0 0 0 1.0002 0 0.9592 0.0882 0.2306 0.3066 2.131 0.9165 -0.0289 0.3128 0.399 2.2603 -0.1351 0.1351 0.4983 0 0
13 39 383 0 0 0 0 0 1.0002 0 0.9339 0.1087 0.297 0.4417 2.6035 0.9204 0.1061 0.3563 0.4589 2.2287 0.1246 0.1246 0.4516 0 0
13 40 355 0 0 0 0 0 1.0004 0 0.9487 0.0586 0.2553 0.3303 2.2476 0.9035 -0.0189 0.334 0.4193 2.3865 -0.1721 0.1721 0.5056 0 0
13 41 402 0 0 0 0 0 1.0006 0 0.926 -0.1559 0.3899 0.5927 3.0477 0.889 -0.0082 0.3243 0.4008 2.3009 0.0259 0.0259 0.5812 0 0
13 42 311 0 0 0 0 0 1.0002 0 0.9414 -0.013 0.4187 0.5665 2.5936 0.9066 -0.0187 0.3942 0.479 2.1287 -0.0912 0.0912 0.5291 0 0
13 43 226 0 0 0 0 0 1.0003 0 0.9598 -0.0987 0.3961 0.5316 2.8351 0.8728 -0.2115 0.4304 0.5473 2.2739 -0.1021 0.1021 0.4841 0 0
13 44 283 0 0 0 0 0 1.001 0 0.9256 -0.1456 0.4556 0.5895 2.5638 0.9006 0.0285 0.3826 0.4707 2.0363 -0.1217 0.1217 0.5296 0 0
13 45 348 0 0 0 0 0 1.0004 0 0.8783 -0.203 0.4012 0.5613 2.0318 0.9017 -0.0965 0.4008 0.5367 2.4895 -0.1847 0.1847 0.4901 0 0
13 46 301 0 0 0 0 0 1.0018 0 0.9242 0.2061 0.4732 0.6859 3.0739 0.8744 0.1193 0.3984 0.4921 2.0703 -0.0952 0.0952 0.5616 0 0
13 47 405 20 0 0 0 0 1.0002 0 0.932 -0.0208 0.2837 0.3621 2.3219 0.9121 -0.0369 0.3043 0.3742 2.4747 0.1768 0.1768 0.5033 1 0
13 48 350 0 0 0 0 0 1.0012 0 0.9697 -0.3451 0.3795 0.4881 2.3713 0.909 -0.2021 0.3955 0.5037 2.4482 -0.1014 0.1014 0.5215 0 0
13 49 383 0 0 0 0 0 1.0005 0 0.9744 0.079 0.2258 0.2829 2.536 0.8944 0.1826 0.371 0.4645 2.4314 0.109 0.109 0.5044 0 0
13 50 414 0 0 0 0 0 1.0007 0 0.9307 -0.2264 0.3367 0.4467 2.3687 0.9043 -0.1831 0.3878 0.4938 2.4779 0.0859 0.0859 0.4544 0 0
13 51 375 0 0 0 0 0 1.0005 0 0.9387 -0.1255 0.2588 0.3084 2.4009 0.8973 -0.1146 0.3557 0.4423 2.7045 -0.0311 0.0311 0.5375 0 0
13 52 352 0 0 0 0 0 1.0007 0 0.8803 -0.083 0.3197 0.4305 1.8398 0.9215 -0.0868 0.3164 0.398 2.4904 0.1015 0.1015 0.4609 0 0
13 53 308 0 0 0 0 0 1.0005 0 0.9366 0.1418 0.2905 0.3944 2.2508 0.9211 0.1777 0.331 0.4009 1.9727 -0.1152 0.1152 0.5219 0 0
13 54 382 0 0 0 0 0 1.0002 0 0.9595 0.1088 0.2332 0.3108 2.3926 0.918 0.001 0.2957 0.3781 2.3713 0.0157 0.0157 0.4985 0 0
13 55 353 0 0 0 0 0 1.0002 0 0.9547 -0.1882 0.3315 0.4296 2.1275 0.9119 -0.0772 0.3616 0.4713 2.311 -0.0341 0.0341 0.4731 0 0
13 56 345 0 0 0 0 0 1.0006 0 0.9645 -0.0906 0.2676 0.36 2.3837 0.9001 -0.111 0.3485 0.4477 2.2175 -0.1611 0.1611 0.5633 0 0
13 57 365 0 0 0 0 0 1.0007 0 0.9537 0.2267 0.3321 0.4028 2.4409 0.9072 0.2448 0.4128 0.4902 2.114 0.0365 0.0365 0.4907 0 0
13 58 358 0 0 0 0 0 1.0002 0 0.9525 0.0737 0.2494 0.361 2.2436 0.8901 0.0058 0.357 0.4501 2.1466 -0.079 0.079 0.4862 0 0
13 59 279 0 0 0 0 0 1.0009 0 0.9318 0.0653 0.2911 0.3656 2.5786 0.9061 0.0814 0.311 0.4125 2.3183 -0.0905 0.0905 0.5287 0 0
13 60 392 0 0 0 0 0 1.0009 0 0.8878 0.1639 0.328 0.3805 1.7855 0.9392 0.1324 0.321 0.4135 2.7524 0.1058 0.1058 0.4079 0 0
13 61 520 0 0 0 0 0 1.0004 0 0.9182 0.1307 0.3657 0.4779 2.6754 0.8997 0.0951 0.3564 0.4589 2.647 0.2159 0.2159 0.4692 0 0
13 62 367 0 0 0 0 0 1.0006 0 0.9144 -0.1388 0.3158 0.4574 2.6161 0.8733 -0.0873 0.3764 0.4782 2.4148 -0.0537 0.0537 0.5106 0 0
13 63 376 0 0 0 0 0 1.0002 0 0.9334 -0.0954 0.3472 0.4097 1.9546 0.9329 -0.0953 0.3078 0.3829 2.37 0.0564 0.0564 0.4478 0 0
13 64 410 0 0 0 0 0 1.0005 0 0.9535 0.0555 0.275 0.3493 2.0493 0.9167 0.0114 0.3426 0.4076 2.2305 0.1503 0.1503 0.4376 0 0
13 65 288 0 0 0 0 0 1.0018 0 0.9234 -0.1198 0.3912 0.4639 2.1205 0.9029 -0.0876 0.3504 0.4466 2.2776 -0.1643 0.1643 0.518 0 0
13 66 393 0 0 0 0 0 1.0001 0 0.9235 -0.1932 0.2977 0.3667 1.7334 0.9337 -0.1878 0.3477 0.4219 2.4166 0.0742 0.0742 0.4379 0 0
13 67 299 0 0 0 0 0 1.0006 0 0.9586 0.0898 0.2153 0.2835 1.7128 0.9011 0.1446 0.3373 0.4064 2.3519 -0.1872 0.1872 0.5106 0 0
13 68 372 0 0 0 0 0 1.0004 0 0.9505 -0.0173 0.231 0.3055 2.0638 0.9197 0.0395 0.3689 0.469 2.1766 0.0707 0.0707 0.4807 0 0
13 69 398 0 0 0 0 0 1.0001 0 0.9464 0.1044 0.3309 0.4397 2.5627 0.9207 0.0939 0.3698 0.4336 2.4464 0.0777 0.0777 0.4535 0 0
13 70 338 0 0 0 0 0 1.0002 0 0.9357 -0.1123 0.3139 0.3589 1.9863 0.9181 -0.1019 0.3437 0.4205 2.3645 0.018 0.018 0.4428 0 0
13 71 409 0 0 0 0 0 1.0002 0 0.9324 -0.2466 0.3463 0.4352 1.829 0.9238 -0.2606 0.38 0.4807 2.6291 0.0827 0.0827 0.4639 0 0
13 72 301 0 0 0 0 0 1.0003 0 0.9278 0.1885 0.3839 0.5252 2.752 0.8955 0.0929 0.3678 0.4654 2.1647 -0.264 0.264 0.5378 0 0
13 73 285 0 0 0 0 0 1.0004 0 0.9532 0.1694 0.3051 0.4693 2.9415 0.9041 0.1156 0.3328 0.4189 2.3159 -0.1455 0.1455 0.4935 0 0
13 74 356 0 0 0 0 0 1.0005 0 0.9354 -0.1529 0.2574 0.3351 1.6782 0.8904 -0.1767 0.4035 0.48 2.2317 -0.0403 0.0403 0.5181 0 0
13 75 381 0 0 0 0 0 1.0002 0 0.9019 0.1824 0.3663 0.5749 2.5343 0.8889 0.0656 0.3658 0.4455 2.4232 -0.0849 0.0849 0.5195 0 0
13 76 375 0 0 0 0 0 1.0007 0 0.9593 0.1564 0.2735 0.3223 2.4975 0.9133 0.1614 0.342 0.4329 2.4421 0.0089 0.0089 0.5055 0 0
13 77 415 1 0 0 0 0 1.0001 0 0.9243 -0.3589 0.4082 0.5048 2.2401 0.9079 -0.2631 0.3972 0.5015 2.6314 0.1116 0.1116 0.5124 1 0
13 78 329 0 0 0 0 0 1.0007 0 0.9781 -0.1751 0.2644 0.322 2.5002 0.9002 -0.1483 0.3664 0.452 2.1278 -0.1681 0.1681 0.5042 0 0
13 79 334 0 0 0 0 0 1.0004 0 0.9711 0.0042 0.1801 0.228 2.2233 0.8968 0.0628 0.337 0.4189 2.0745 0.0693 0.0693 0.496 0 0
13 80 380 0 0 0 0 0 1.0003 0 0.927 -0.2427 0.3251 0.4725 2.5066 0.9114 -0.0973 0.3474 0.4508 2.3715 0.0412 0.0412 0.4867 0 0
13 81 413 1 0 0 0 0 1.0006 0 0.8929 0.2338 0.3933 0.5104 2.2726 0.8945 0.1955 0.3777 0.4617 2.627 0.1314 0.1314 0.5195 1 0
13 82 360 0 0 0 0 0 1.0005 0 0.9485 -0.1656 0.289 0.3643 1.6917 0.9523 -0.1913 0.3454 0.4231 2.3208 0.0149 0.0149 0.4684 0 0
13 83 408 0 0 0 0 0 1.0002 0 0.9418 -0.2431 0.3702 0.4136 1.9787 0.9225 -0.2077 0.3769 0.464 2.4571 0.1421 0.1421 0.412 0 0
13 84 374 0 0 0 0 0 1.0004 0 0.9499 -0.0588 0.207 0.2858 1.7447 0.9063 -0.0744 0.3012 0.3865 2.3847 -0.0484 0.0484 0.4821 0 0
13 85 358 0 0 0 0 0 1.0008 0 0.9654 0.1259 0.3061 0.3907 2.631 0.9114 0.0252 0.304 0.3914 2.2054 0.0311 0.0311 0.4736 0 0
13 86 277 0 0 0 0 0 1.0006 0 0.9348 0.0356 0.2791 0.3434 1.9642 0.9173 0.042 0.3114 0.4 2.1899 -0.185 0.185 0.4791 0 0
