cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
36 26 1209 0 0 0 0 0 1.0034 0 0.9869 0.1372 0.1372 0.1555 1.2466 0.9845 -0.1087 0.1622 0.2077 2.0853 0.6136 -0.0483 0.6774 0.8455 4.1352 -0.0572 0.0572 0.4449 0 0
36 27 1207 0 0 0 0 0 1.0002 0 -0.4095 0.0351 0.2065 0.2141 1.1331 0.9903 0.1765 0.192 0.2602 2.348 0.6378 -0.027 0.6367 0.8115 4.1056 0.0181 0.0181 0.395 0 0
36 28 1581 0 0 0 0 0 1.005 0 -0.9968 -0.1384 0.232 0.3277 1.9029 0.9591 1.1478 1.583 2.6002 23.704 0.411 -0.0538 0.6983 0.8934 4.1071 -0.3402 0.3402 0.7434 0 0
36 29 1247 0 0 0 0 0 1.0021 0 0.8556 0.0444 0.1425 0.1495 1.6404 0.9911 0.0327 0.1026 0.1313 2.1867 0.5368 0.0081 0.7071 0.894 4.1556 -0.0332 0.0332 0.5772 0 0
36 30 1281 0 0 0 0 0 1.0007 0 0.4479 -0.215 0.5267 0.5716 1.0058 0.9793 3e-04 0.3006 0.3453 2.2569 0.6966 -0.0741 0.5713 0.7246 4.1624 0.136 0.136 0.3278 0 0
36 31 1246 0 0 0 0 0 1.0009 0 0.2753 -0.0632 0.3588 0.364 2.0147 0.9471 -0.2043 0.4813 0.706 7.6696 0.6114 0.0749 0.6603 0.8195 4.1216 -0.0723 0.0723 0.4729 0 0
36 32 1194 0 0 0 0 0 1.0005 0 0.2042 -0.1246 0.2252 0.2396 1.2598 0.9958 -0.2218 0.2366 0.2984 2.5177 0.6359 0.0273 0.6258 0.803 4.1919 0.0335 0.0335 0.5285 0 0
36 33 1267 0 0 0 0 0 1.0004 0 0.9325 -0.1045 0.1045 0.1276 0.8461 0.9979 -0.2134 0.2407 0.2955 2.0865 0.6602 -0.0334 0.6462 0.8157 4.2909 0.1788 0.1788 0.3239 0 0
36 34 1196 0 0 0 0 0 1.0005 0 0.9738 0.132 0.1711 0.1948 1.0823 0.9887 -0.0559 0.1887 0.2426 2.4771 0.657 -0.0183 0.6202 0.7786 4.0619 -0.0493 0.0493 0.3427 0 0
36 35 1250 0 0 0 0 0 1.0013 0 0.9339 -0.029 0.0487 0.056 1.1585 0.9969 0.0281 0.0844 0.1109 2.8167 0.5999 -0.0117 0.6404 0.809 4.1454 0.0238 0.0238 0.4184 0 0
