cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
20 1 1249 0 0 0 0 0 1.0042 0 0.9626 -0.0527 0.0846 0.0963 0.613 0.9939 0.0166 0.1212 0.1532 1.3361 0.913 -2e-04 0.367 0.4609 2.6351 0.0191 0.0191 0.1751 0 0
20 2 1051 0 0 0 1 0 1.005 0 0.9158 -0.057 0.1047 0.1298 0.5918 0.9932 -0.0687 0.1437 0.185 1.5711 0.9185 0.0012 0.3497 0.4391 2.3638 -0.0524 0.0524 0.1864 0 1
20 3 1373 0 0 0 2 0 1.0043 0 0.958 -0.0421 0.1003 0.1186 0.7201 0.9928 -0.052 0.1174 0.1632 1.623 0.9046 -0.0936 0.3925 0.4974 2.5006 0.0517 0.0517 0.1764 0 1
20 4 1075 0 0 0 3 0 1.0049 0 0.9311 -0.0458 0.0921 0.1099 0.7086 0.9963 -0.0199 0.1088 0.1409 1.4035 0.9238 -0.0104 0.3343 0.4247 2.3696 -0.0416 0.0416 0.1889 0 1
20 5 1781 0 0 0 1 0 1.0017 0 0.9587 -0.0885 0.0963 0.1451 0.4917 0.9929 0.1567 0.1708 0.2032 1.0366 0.9298 0.127 0.3674 0.4608 2.8982 0.135 0.135 0.1643 0 1
20 6 1056 0 0 0 1 0 1.0064 0 0.8672 -0.1348 0.1545 0.1892 0.5353 0.9865 0.0303 0.2316 0.3774 3.0503 0.9037 -0.0049 0.3634 0.4538 2.5508 -0.0246 0.0246 0.1965 0 1
20 7 1087 0 0 0 2 0 1.0069 0 0.9431 0.0386 0.1089 0.127 0.5879 0.9946 0.2072 0.2131 0.2372 0.9598 0.9238 0.2126 0.3805 0.4769 2.4966 -0.0433 0.0433 0.1852 0 1
20 8 1563 0 0 0 2 0 1.0045 0 0.8562 0.0113 0.075 0.1017 0.5482 0.9948 5e-04 0.0988 0.1267 1.4718 0.9221 -0.0366 0.3692 0.4657 2.423 0.0505 0.0505 0.1859 0 1
20 9 1038 0 0 0 1 0 1.0059 0 0.929 -0.0019 0.0922 0.111 0.5957 0.9875 -0.1935 0.2135 0.2642 1.0972 0.9098 -0.1772 0.4004 0.5101 2.4802 -0.0502 0.0502 0.186 0 1
20 10 1278 0 0 0 1 0 1.0054 0 0.9528 0.0126 0.086 0.0953 0.6586 0.9899 0.0722 0.1466 0.1895 1.5199 0.9167 0.0522 0.3902 0.4887 2.7123 0.0512 0.0512 0.1757 0 1
20 11 1179 0 0 0 2 0 1.0049 0 0.962 -0.0101 0.0908 0.1059 0.9064 0.99 0.0085 0.143 0.1736 1.4667 0.9044 0.0255 0.4108 0.5137 2.5976 0.0064 0.0064 0.1958 0 1
20 12 1333 0 0 0 1 0 1.0052 0 0.9517 0.0028 0.068 0.0862 0.5803 0.9928 -0.1663 0.1975 0.2529 2.221 0.9107 -0.1089 0.3805 0.4821 2.6524 0.0111 0.0111 0.1924 0 1
20 13 990 0 0 0 1 0 1.0026 0 0.9513 -0.0658 0.0861 0.1017 0.5609 0.996 -0.0584 0.1736 0.2168 2.2905 0.9132 -0.1112 0.3532 0.448 2.5505 -0.0884 0.0884 0.1992 0 1
20 14 1017 0 0 0 1 0 1.0025 0 0.9181 0.0138 0.0623 0.0758 0.5048 0.9908 0.0438 0.1379 0.2027 2.4848 0.9127 -0.0267 0.3631 0.45 2.4843 -0.066 0.066 0.1901 0 1
20 15 1137 0 0 0 1 0 1.0067 0 0.9311 -0.0165 0.0719 0.086 0.5758 0.9892 -0.017 0.1435 0.1936 1.6862 0.927 -0.0138 0.3523 0.4325 2.5395 -0.0061 0.0061 0.1871 0 1
