cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
9 1 311 0 0 0 0 0 1.0047 0 0.9953 0.0478 0.174 0.2746 1.0127 0.8272 -0.0373 0.5209 0.6474 2.932 -0.1107 0.1107 0.3322 0 0
9 2 353 0 0 0 0 0 1.0017 0 0.9944 0.1334 0.1618 0.196 1.1325 0.8361 0.0205 0.49 0.6112 3.0075 -0.0205 0.0205 0.2541 0 0
9 3 309 0 0 0 0 0 1.0031 0 0.9955 -3e-04 0.121 0.1462 0.9168 0.8332 -0.064 0.5146 0.6395 2.9773 -0.048 0.048 0.2779 0 0
9 4 307 0 0 0 0 0 1.0043 0 0.993 0.0051 0.0992 0.1293 0.809 0.8503 0.0614 0.4688 0.5755 2.8909 -0.0035 0.0035 0.2462 0 0
9 5 300 0 0 0 0 0 1.0036 0 0.994 -0.2166 0.2169 0.2461 0.6819 0.8175 -0.1498 0.524 0.6625 2.9623 -0.0528 0.0528 0.2672 0 0
9 6 300 0 0 0 0 0 1.0026 0 0.9957 -0.0625 0.1247 0.1592 0.8131 0.8532 -0.0254 0.46 0.5879 2.8353 -0.0237 0.0237 0.2453 0 0
9 7 355 0 0 0 0 0 1.0055 0 0.9929 0.2439 0.2584 0.2991 1.4133 0.844 0.2652 0.5338 0.6548 3.0538 0.0163 0.0163 0.267 0 0
9 8 301 0 0 0 0 0 1.003 0 0.9974 0.1135 0.12 0.1445 0.7615 0.8666 0.0503 0.5009 0.6326 2.9018 -0.0284 0.0284 0.2461 0 0
9 9 299 0 0 0 0 0 1.0013 0 0.9925 0.0072 0.132 0.1528 0.7325 0.8149 -0.051 0.4852 0.6166 3.0047 -0.0975 0.0975 0.2818 0 0
9 10 316 0 0 0 0 0 1.0016 0 0.9962 0.14 0.1596 0.1995 0.9024 0.8562 0.1093 0.4986 0.6253 3.1448 0.0355 0.0355 0.2338 0 0
9 11 314 0 0 0 0 0 1.0028 0 0.9788 0.0275 0.1704 0.2091 0.7959 0.8555 0.0316 0.474 0.5994 2.9993 0.0083 0.0083 0.2422 0 0
9 12 302 0 0 0 0 0 1.0017 0 0.995 -0.186 0.2218 0.2557 0.7222 0.8327 -0.2175 0.5253 0.6459 2.8126 -0.0369 0.0369 0.2545 0 0
9 13 299 0 0 0 0 0 1.0014 0 0.9948 -0.1072 0.1326 0.1633 0.747 0.8368 -0.0708 0.5046 0.6288 3.0153 -0.052 0.052 0.2635 0 0
9 14 299 0 0 0 0 0 1.0042 0 0.9953 0.0494 0.1362 0.1694 1.0212 0.8539 0.0087 0.4935 0.6083 2.8872 -0.0183 0.0183 0.2588 0 0
9 15 318 0 0 0 0 0 1.0025 0 0.997 -0.1202 0.1414 0.1735 0.8922 0.8346 -0.0972 0.5281 0.6689 3.0384 0.0234 0.0234 0.2443 0 0
9 16 324 0 0 0 0 0 1.0036 0 0.9967 -0.0836 0.1232 0.1497 0.8341 0.8529 -0.0798 0.4886 0.6112 2.902 0.0127 0.0127 0.2281 0 0
9 17 309 0 0 0 0 0 1.0011 0 0.9963 -0.0243 0.1365 0.1651 0.8898 0.8481 -0.0361 0.4758 0.615 3.0143 0.0191 0.0191 0.2412 0 0
9 18 318 0 0 0 0 0 1.0018 0 0.9973 0.1298 0.1396 0.167 0.8411 0.8342 0.1726 0.4816 0.6253 3.0346 0.0222 0.0222 0.2536 0 0
9 19 312 0 0 0 0 0 1.0034 0 0.9971 0.3962 0.3962 0.409 0.7793 0.8489 0.3051 0.5516 0.6941 3.1853 -0.0129 0.0129 0.2582 0 0
9 20 327 0 0 0 0 0 1.0013 0 0.9949 0.0051 0.1136 0.1249 0.8032 0.8502 -0.0188 0.4511 0.5822 2.9502 -0.0092 0.0092 0.2513 0 0
9 21 324 0 0 0 0 0 1.0012 0 0.996 -0.0886 0.1144 0.1464 0.7427 0.845 -0.098 0.5261 0.6558 2.9958 0.053 0.053 0.2338 0 0
9 22 330 0 0 0 0 0 1.004 0 0.997 0.0661 0.0884 0.1155 0.8057 0.8382 -3e-04 0.4897 0.6127 2.9635 0.0049 0.0049 0.2645 0 0
9 23 300 0 0 0 0 0 1.0018 0 0.9958 0.1777 0.1813 0.2101 0.8647 0.8446 0.1144 0.5086 0.6297 2.996 -0.0573 0.0573 0.2602 0 0
9 24 304 0 0 0 0 0 1.0014 0 0.9973 -0.2571 0.2571 0.2741 0.8695 0.8439 -0.1595 0.4897 0.6225 2.891 -0.032 0.032 0.2447 0 0
